datetime,temp,on_sec(s),power(%),P,I,D,PID
20230914 20:56:52,52.312,5,1,7.75,0,0,0.0
20230914 20:56:57,52.375,5,1,7.688000000000002,0,0,0.0
20230914 20:57:02,52.437,5,1,7.625,0,0,0.0
20230914 20:57:07,52.562,5,1,7.563000000000002,0,0,0.0
20230914 20:57:12,52.562,5,1,7.438000000000002,0,0,0.0
20230914 20:57:17,52.562,5,1,7.438000000000002,0,0,0.0
20230914 20:57:24,52.812,5,1,7.188000000000002,0,0,0.0
20230914 20:57:29,52.812,5,1,7.188000000000002,0,0,0.0
20230914 20:57:34,52.937,5,1,7.188000000000002,0,0,0.0
20230914 20:57:39,53.062,5,1,7.063000000000002,0,0,0.0
20230914 20:57:45,53.125,5,1,6.938000000000002,0,0,0.0
20230914 20:57:52,53.25,5,1,6.75,0,0,0.0
20230914 20:57:57,53.312,5,1,6.75,0,0,0.0
20230914 20:58:02,53.437,5,1,6.688000000000002,0,0,0.0
20230914 20:58:07,53.5,5,1,6.563000000000002,0,0,0.0
20230914 20:58:13,53.562,5,1,6.5,0,0,0.0
20230914 20:58:20,53.687,5,1,6.313000000000002,0,0,0.0
20230914 20:58:25,53.812,5,1,6.313000000000002,0,0,0.0
20230914 20:58:30,53.812,5,1,6.188000000000002,0,0,0.0
20230914 20:58:36,53.937,5,1,6.063000000000002,0,0,0.0
20230914 20:58:41,54.0,5,1,6.063000000000002,0,0,0.0
20230914 20:58:46,54.0,5,1,6.0,3.015832255657797,-0.012600000000000477,0.0
20230914 20:58:51,54.187,5,1,6.0,6.015832255657797,-0.012600000000000477,0.0
20230914 20:58:56,54.25,5,1,5.813000000000002,8.969822308988874,-0.05,0.0
20230914 20:59:01,54.312,5,1,5.75,11.860658121494279,-0.05,0.0
20230914 20:59:06,54.375,5,1,5.688000000000002,14.720242139679277,-0.062399999999999525,0.0
20230914 20:59:11,54.5,5,1,5.625,14.53274759285203,-0.03760000000000048,0.0
20230914 20:59:16,54.562,5,1,5.5,14.314348716447537,-0.05,0.0
20230914 20:59:21,54.687,5,1,5.438000000000002,14.0949465219572,-0.05,0.0
20230914 20:59:26,54.812,5,1,5.313000000000002,13.892224047745906,-0.062399999999999525,0.0
