date,Open,High,Low,Close,Volume
2024-04-12 12:08:00,142.45,142.495,142.42,142.495,1272.0
2024-04-12 12:09:00,142.445,142.445,142.445,142.445,421.0
2024-04-12 12:10:00,142.44,142.5,142.435,142.435,4310.0
2024-04-12 12:11:00,142.435,142.435,142.29,142.31,1474.0
2024-04-12 12:12:00,142.25,142.255,142.25,142.255,743.0
2024-04-12 12:13:00,142.19,142.21,142.17,142.21,1627.0
2024-04-12 12:14:00,142.145,142.145,142.13,142.135,775.0
2024-04-12 12:15:00,142.17,142.2,142.11,142.11,1362.0
2024-04-12 12:16:00,142.11,142.11,142.045,142.045,611.0
2024-04-12 12:17:00,142.035,142.035,141.986,141.986,1276.0
2024-04-12 12:18:00,141.96,142.06,141.95,141.95,1846.0
2024-04-12 12:19:00,141.95,141.95,141.8,141.8,1391.0
2024-04-12 12:20:00,141.82,141.86,141.82,141.86,608.0
2024-04-12 12:21:00,141.835,141.87,141.835,141.86,1244.0
2024-04-12 12:22:00,141.855,141.855,141.72,141.73,1663.0
2024-04-12 12:23:00,141.76,141.76,141.68,141.68,852.0
2024-04-12 12:24:00,141.665,141.7,141.665,141.675,1784.0
2024-04-12 12:25:00,141.72,141.72,141.63,141.63,409.0
2024-04-12 12:26:00,141.68,141.68,141.58,141.65,1632.0
2024-04-12 12:27:00,141.655,141.655,141.61,141.61,982.0
2024-04-12 12:28:00,141.615,141.635,141.57,141.59,1631.0
2024-04-12 12:29:00,141.615,141.62,141.55,141.575,2341.0
2024-04-12 12:30:00,141.595,141.62,141.59,141.59,1150.0
2024-04-12 12:31:00,141.55,141.565,141.5,141.5,1761.0
2024-04-12 12:32:00,141.43,141.465,141.425,141.435,2616.0
2024-04-12 12:33:00,141.485,141.505,141.48,141.495,2872.0
2024-04-12 12:34:00,141.54,141.59,141.49,141.58,1881.0
2024-04-12 12:35:00,141.555,141.56,141.52,141.525,1052.0
2024-04-12 12:36:00,141.48,141.485,141.48,141.485,974.0
2024-04-12 12:37:00,141.475,141.475,141.39,141.46,2186.0
2024-04-12 12:38:00,141.46,141.46,141.375,141.375,1106.0
2024-04-12 12:39:00,141.39,141.46,141.39,141.46,2147.0
2024-04-12 12:40:00,141.47,141.48,141.38,141.38,1958.0
2024-04-12 12:41:00,141.38,141.38,141.38,141.38,268.0
2024-04-12 12:42:00,141.385,141.385,141.385,141.385,312.0
2024-04-12 12:44:00,141.38,141.38,141.31,141.31,1978.0
2024-04-12 12:45:00,141.325,141.33,141.3,141.33,944.0
2024-04-12 12:46:00,141.31,141.32,141.3,141.3,1936.0
2024-04-12 12:47:00,141.27,141.27,141.23,141.25,3817.0
2024-04-12 12:48:00,141.27,141.32,141.27,141.27,1901.0
2024-04-12 12:49:00,141.32,141.32,141.265,141.265,916.0
2024-04-12 12:50:00,141.34,141.35,141.34,141.34,1043.0
2024-04-12 12:51:00,141.32,141.35,141.29,141.29,1415.0
2024-04-12 12:53:00,141.27,141.27,141.27,141.27,533.0
2024-04-12 12:55:00,141.27,141.285,141.27,141.285,848.0
2024-04-12 12:56:00,141.3,141.33,141.25,141.25,1874.0
2024-04-12 12:57:00,141.2,141.209,141.17,141.17,882.0
2024-04-12 12:58:00,141.09,141.11,141.07,141.09,1145.0
2024-04-12 13:00:00,141.09,141.09,141.05,141.09,2949.0
2024-04-12 13:01:00,141.11,141.115,141.11,141.11,557.0
2024-04-12 13:02:00,141.11,141.11,141.05,141.1,1907.0
2024-04-12 13:03:00,141.075,141.11,141.075,141.11,1000.0
2024-04-12 13:04:00,141.115,141.155,141.1,141.155,1579.0
2024-04-12 13:05:00,141.175,141.22,141.15,141.22,1839.0
2024-04-12 13:06:00,141.21,141.22,141.2,141.22,866.0
2024-04-12 13:07:00,141.23,141.23,141.195,141.195,559.0
2024-04-12 13:08:00,141.175,141.185,141.15,141.185,1182.0
