datetime,temp,on_sec(s),power(%),P,I,D,PID
20230923 00:06:41,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:06:46,61.937,1.9763709677420105,0.3952741935484021,0.06300000000000239,0.15750000000000597,0.012600000000000477,0.0
20230923 00:06:51,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:06:56,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:07:02,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:07:07,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:07:12,62.0,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:07:18,61.937,1.9763709677420105,0.3952741935484021,0.06300000000000239,0.15750000000000597,0.012600000000000477,0.0
20230923 00:07:25,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:07:30,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:07:35,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:07:40,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:07:46,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:07:51,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:07:58,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:08:03,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:08:09,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:08:14,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:08:20,61.937,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:08:26,61.937,1.0313709677419747,0.20627419354839494,0.06300000000000239,0.15750000000000597,-0.025200000000000954,0.0
20230923 00:08:31,61.937,1.3463709677419866,0.2692741935483973,0.06300000000000239,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:08:36,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:08:43,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:08:48,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:08:53,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:08:59,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:09:04,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:09:09,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:09:16,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:09:21,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:09:26,62.0,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:09:31,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:09:36,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:09:42,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:09:47,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:09:53,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:09:58,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:10:03,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:10:08,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:10:13,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:10:18,62.0,0,0,0.0,0.15750000000000597,-0.012600000000000477,0.0
20230923 00:10:24,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:10:31,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:10:36,61.937,1.9763709677420105,0.3952741935484021,0.06300000000000239,0.15750000000000597,0.012600000000000477,0.0
20230923 00:10:43,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:10:48,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:10:53,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:11:00,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:11:05,61.937,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:11:10,62.0,1.6613709677419985,0.3322741935483997,0.06300000000000239,0.15750000000000597,0.0,0.0
20230923 00:11:16,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:21,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:26,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:31,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:36,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:41,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:46,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:51,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:11:56,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:12:03,62.0,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:12:08,61.937,0,0,0.0,0.15750000000000597,0.0,0.0
20230923 00:12:13,62.0,1.9763709677420105,0.3952741935484021,0.06300000000000239,0.15750000000000597,0.012600000000000477,0.0
