datetime,temp,on_sec(s),power(%),P,I,D,PID
20230910 06:31:48,51.5,5,1,13.5,0,0,0.0
20230910 06:31:54,51.562,5,1,13.438000000000002,0,0,0.0
20230910 06:31:59,51.562,5,1,13.438000000000002,0,0,0.0
20230910 06:32:04,51.75,5,1,13.438000000000002,0,0,0.0
20230910 06:32:09,51.75,5,1,13.25,0,0,0.0
20230910 06:32:14,51.812,5,1,13.25,0,0,0.0
20230910 06:32:19,51.875,5,1,13.188000000000002,0,0,0.0
20230910 06:32:24,51.937,5,1,13.125,0,0,0.0
20230910 06:32:29,52.0,5,1,13.063000000000002,0,0,0.0
20230910 06:32:34,52.125,5,1,13.0,0,0,0.0
20230910 06:32:39,52.187,5,1,12.875,0,0,0.0
20230910 06:32:44,52.25,5,1,12.813000000000002,0,0,0.0
20230910 06:32:49,52.312,5,1,12.75,0,0,0.0
20230910 06:32:56,52.375,5,1,12.625,0,0,0.0
20230910 06:33:01,52.437,5,1,12.625,0,0,0.0
20230910 06:33:06,52.5,5,1,12.563000000000002,0,0,0.0
20230910 06:33:11,52.562,5,1,12.5,0,0,0.0
20230910 06:33:16,52.562,5,1,12.438000000000002,0,0,0.0
20230910 06:33:21,52.75,5,1,12.438000000000002,0,0,0.0
20230910 06:33:27,52.812,5,1,12.25,0,0,0.0
20230910 06:33:33,52.875,5,1,12.125,0,0,0.0
20230910 06:33:38,52.937,5,1,12.125,0,0,0.0
20230910 06:33:44,53.0,5,1,12.063000000000002,0,0,0.0
20230910 06:33:49,53.062,5,1,12.0,0,0,0.0
20230910 06:33:56,53.125,5,1,11.875,0,0,0.0
20230910 06:34:03,53.25,5,1,11.75,0,0,0.0
20230910 06:34:09,53.312,5,1,11.75,0,0,0.0
20230910 06:34:14,53.375,5,1,11.688000000000002,0,0,0.0
20230910 06:34:19,53.437,5,1,11.625,0,0,0.0
20230910 06:34:24,53.5,5,1,11.563000000000002,0,0,0.0
20230910 06:34:29,53.562,5,1,11.5,0,0,0.0
20230910 06:34:34,53.625,5,1,11.438000000000002,0,0,0.0
20230910 06:34:39,53.687,5,1,11.375,0,0,0.0
20230910 06:34:44,53.75,5,1,11.313000000000002,0,0,0.0
20230910 06:34:49,53.812,5,1,11.25,0,0,0.0
20230910 06:34:54,53.875,5,1,11.188000000000002,0,0,0.0
20230910 06:34:59,53.875,5,1,11.125,0,0,0.0
20230910 06:35:05,54.0,5,1,11.0,0,0,0.0
20230910 06:35:11,54.062,5,1,10.938000000000002,0,0,0.0
20230910 06:35:16,54.125,5,1,10.938000000000002,0,0,0.0
20230910 06:35:24,54.187,5,1,10.813000000000002,0,0,0.0
20230910 06:35:29,54.312,5,1,10.813000000000002,0,0,0.0
20230910 06:35:34,54.375,5,1,10.688000000000002,0,0,0.0
20230910 06:35:39,54.437,5,1,10.625,0,0,0.0
20230910 06:35:44,54.5,5,1,10.563000000000002,0,0,0.0
20230910 06:35:49,54.562,5,1,10.5,0,0,0.0
20230910 06:35:55,54.625,5,1,10.375,0,0,0.0
20230910 06:36:01,54.687,5,1,10.375,0,0,0.0
20230910 06:36:06,54.75,5,1,10.313000000000002,0,0,0.0
20230910 06:36:11,54.812,5,1,10.25,0,0,0.0
20230910 06:36:16,54.875,5,1,10.188000000000002,0,0,0.0
20230910 06:36:21,54.937,5,1,10.125,0,0,0.0
20230910 06:36:26,55.0,5,1,10.063000000000002,0,0,0.0
20230910 06:36:31,55.062,5,1,10.0,0,0,0.0
20230910 06:36:36,55.062,5,1,9.938000000000002,0,0,0.0
20230910 06:36:42,55.187,5,1,9.813000000000002,0,0,0.0
20230910 06:36:48,55.25,5,1,9.75,0,0,0.0
20230910 06:36:53,55.312,5,1,9.75,0,0,0.0
20230910 06:36:58,55.375,5,1,9.688000000000002,0,0,0.0
20230910 06:37:03,55.437,5,1,9.625,0,0,0.0
20230910 06:37:08,55.562,5,1,9.563000000000002,0,0,0.0
20230910 06:37:14,55.625,5,1,9.438000000000002,0,0,0.0
20230910 06:37:20,55.687,5,1,9.313000000000002,0,0,0.0
20230910 06:37:26,55.687,5,1,9.313000000000002,0,0,0.0
20230910 06:37:31,55.812,5,1,9.313000000000002,0,0,0.0
